,cluster_label
0,2
1,1
2,1
3,1
4,1
5,0
6,2
7,1
8,2
9,1
10,1
11,1
12,1
13,0
14,2
15,1
16,1
17,2
18,1
19,2
20,0
21,1
22,1
23,2
24,1
25,2
26,1
27,1
28,2
29,1
30,1
31,0
32,1
33,1
34,0
35,1
36,1
37,2
38,2
39,2
40,2
41,1
42,0
43,2
44,1
45,1
46,1
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,1
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,1
64,1
65,1
66,0
67,1
68,1
69,1
70,0
71,1
72,1
73,1
74,1
75,2
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,2
84,0
85,2
86,0
87,1
88,1
89,0
90,1
91,1
92,1
93,1
94,1
95,0
96,2
97,1
98,1
99,1
100,1
101,2
102,1
103,1
104,1
105,0
106,2
107,1
108,1
109,1
110,2
111,1
112,2
113,1
114,1
115,1
116,1
117,0
118,1
119,1
120,2
121,1
122,1
123,1
124,1
125,1
126,1
127,2
128,1
129,0
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,0
139,0
140,1
141,1
142,1
143,1
144,2
145,2
146,1
147,2
148,1
149,1
150,2
151,0
152,2
153,2
154,1
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,1
164,2
165,0
166,2
167,0
168,0
169,0
170,1
171,0
172,1
173,0
174,0
175,0
176,2
177,0
178,2
179,0
180,2
181,1
182,0
183,0
184,1
185,0
186,0
187,0
188,1
189,0
190,0
191,0
192,2
193,0
194,2
195,2
196,0
197,0
198,1
199,1
200,0
201,2
202,2
203,2
204,1
205,0
206,2
207,0
208,1
209,0
210,0
211,0
212,2
213,0
214,0
215,0
216,2
217,0
218,1
219,2
220,0
221,2
222,2
223,0
224,0
225,0
226,0
227,2
228,0
229,1
230,2
231,2
232,0
233,2
234,2
235,1
236,2
237,2
238,1
239,2
240,2
241,2
242,0
243,0
244,0
245,2
246,2
247,2
248,2
249,0
250,0
251,2
252,0
253,2
254,2
255,0
256,0
257,2
258,0
259,2
260,1
261,0
262,0
263,0
264,0
265,2
266,1
267,0
268,0
269,1
270,0
271,1
272,0
273,1
274,0
275,1
276,2
277,0
278,0
279,0
280,0
281,1
282,0
283,0
284,1
285,1
286,0
287,0
288,1
289,0
290,2
291,2
292,0
293,0
294,0
295,2
296,0
297,0
298,0
299,0
300,1
